N,Pop_Prob,Off_Prob,Tournament_Size,Value,Run_Gens
1000,1.775,1.1,8,"(1000, -3855)",21
1000,1.55,1.1,11,"(1000, -3860)",23
1000,1.3250000000000002,1.1,11,"(1000, -3865)",21
1000,2.0,1.1,5,"(1000, -3867)",27
1000,1.1,1.1,14,"(1000, -3884)",22
1000,1.1,1.3250000000000002,14,"(1000, -3910)",22
1000,1.1,1.1,8,"(1000, -3928)",23
1000,1.1,1.1,11,"(1000, -3934)",19
1000,1.1,1.775,11,"(1000, -3941)",21
1000,1.775,1.3250000000000002,11,"(1000, -3945)",20
1000,1.55,1.3250000000000002,14,"(1000, -3953)",18
1000,1.55,2.0,8,"(1000, -3973)",19
